ticker,name,sector,error,n_years_used,price,revenue,total_assets,current_ratio,total_debt,dividend_years_streak,eps_growth_over_period,P/E,P/B,score,max_score,company_type,na_criteria,fscore,eps_ttm,book_value_per_share,graham_number,margin_of_safety,score_ent,max_score_ent,enterprise_value,ebit,ebit_ev,gross_profitability,net_payout_yield,net_debt_to_ebitda,measurable,data_source,sec_fields,accruals,dollar_volume,next_earnings,share_class_of,crit_1_adequate_size,crit_2_earnings_stability,crit_3_financial_strength,crit_4_returns_capital,crit_5_cheap_ebit_ev,crit_6_gross_profitability,ent_1_financial_condition,ent_2_earnings_stability_5y,ent_3_pays_dividend_now,ent_4_earnings_higher_than_past,ent_5_price_under_120pct_net_assets,f_1_roa_positive,f_2_cfo_positive,f_3_roa_improving,f_4_cfo_above_income,f_5_leverage_down,f_6_current_ratio_up,f_7_no_new_shares,f_8_gross_margin_up,f_9_asset_turnover_up,beneish_m,beneish_flag,altman_z,altman_flag,momentum_12_1,accruals_yf,red_flag,rank_bucket,rank_basis,quality_score,accruals_flag,liquidity_flag
CENTA,Central Garden & Pet Company,Consumer Defensive,,4,34.06,3129064000.0,3789953000.0,3.7868946101432126,1193058000.0,0,,12.614815,1.2203075,6,6,industrial,,8,2.55,27.91099784275685,41.1775799927122,0.1728508570433691,3,5,2328252000.0,250042000.0,0.1078,0.2751,0.0727,0.5862254281414957,True,sec,13,-0.0448,11288607.98,2026-11-25,,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,-2.75,תקין,2.61,אזור אפור,0.268,-0.0465,,Consumer Defensive,ענף,65,,
CMCSA,Comcast Corporation,Communication Services,,4,21.91,123707000000.0,257548000000.0,0.7957876288036745,90381000000.0,19,,7.022436,0.8656315,6,6,industrial,,8,5.39,25.31100127479187,42.15248822477024,0.4802204822840105,4,5,160453632448.0,20672000000.0,0.1878,0.3256,0.155,2.242367550566672,True,sec,12,-0.053,703719008.02,2026-10-22,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,-2.72,תקין,1.41,סיכון חדלות פירעון,-0.0822,-0.0513,אלטמן,כלל השוק,ענף,75,,
CRI,"Carter's, Inc.",Consumer Cyclical,,4,31.31,2898426000.0,2732360000.0,2.46974202605401,567808000.0,14,,5.841418,1.1188936,6,6,industrial,,4,2.53,27.98337792423225,58.09259669208021,0.4610328719516766,4,5,1063664200.0,143933000.0,0.0881,0.5124,0.049,-0.4387370381170163,True,sec,13,-0.0112,38493453.3,2026-11-02,,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,-2.62,תקין,2.61,אזור אפור,0.2147,-0.0119,,Consumer Cyclical,ענף,45,,
CTSH,Cognizant Technology Solutions ,Technology,,4,57.33,21108000000.0,20825000000.0,2.18215935334873,1560000000.0,10,,12.302576,1.7917866,6,6,industrial,,7,4.56,31.995575221238937,57.920463735753,0.0101943889545988,3,5,27626090816.0,3389000000.0,0.1309,0.3439,0.077,0.1292206143691292,True,sec,13,-0.0314,472013598.42,2026-10-28,,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,-2.5,תקין,5.58,תקין,-0.0687,-0.0316,,Technology,ענף,80,,
DECK,Deckers Outdoor Corporation,Consumer Cyclical,,4,78.67,5472296000.0,3868621000.0,2.7472206056423705,472334016.0,0,,11.190611,4.6732802,6,6,industrial,,6,7.02,16.834390199305176,51.60153239722736,-0.5245671270845259,3,5,9601452032.0,1262903000.0,0.1384,0.8563,0.1007,-1.081339677986631,True,sec,14,-0.0408,214026848.55,2026-10-22,,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,True,False,True,-2.69,תקין,9.6,תקין,-0.1546,-0.0428,,Consumer Cyclical,ענף,66,,
EEFT,"Euronet Worldwide, Inc.",Technology,,4,65.61,4244200000.0,6493100000.0,1.3706727422315044,2653000000.0,0,,10.414286,1.9950738,6,6,industrial,,6,6.84,18.13377438258398,68.27584189299951,0.0390451705769862,2,5,3954407136.0,529800000.0,0.1723,0.2703,0.2684,2.1791111776148435,True,sec,12,-0.0385,42922980.54,2026-10-21,,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,-2.47,תקין,1.77,סיכון חדלות פירעון,-0.1975,-0.038,אלטמן,Technology,ענף,70,,
EPAM,"EPAM Systems, Inc.",Technology,,4,108.23,5457056000.0,4574086000.0,2.7547079510266186,25000000.0,0,,14.685211,1.5866711,6,6,industrial,,6,6.72,68.21205776873121,106.3543765995379,-0.0176356014715265,2,5,4818862136.0,520003000.0,0.1051,0.321,0.1186,-1.1854534796080731,True,sec,13,-0.0606,157693274.6,2026-11-05,,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,False,True,False,True,-2.68,תקין,5.23,תקין,-0.2709,-0.0566,,Technology,ענף,55,,
FHI,"Federated Hermes, Inc.",Financial Services,,4,57.82,1800663000.0,2330154000.0,2.5922488226059657,348499000.0,29,,10.747211,3.2972174,6,6,financial,,8,5.13,17.535998687863287,46.07312468371817,-0.2549615507287933,4,5,4363629344.0,513882000.0,0.1324,0.5486,0.0852,0.089570303074407,True,sec,11,0.0455,35192432.1,2026-10-29,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,,לא רלוונטי,,לא רלוונטי,0.2612,0.0524,,Financial Services,ענף,80,לא רלוונטי,
G,Genpact Limited,Technology,,4,33.1,5079879000.0,5413096000.0,1.9956111803663292,1180257000.0,10,,9.851191,2.1352084,6,6,industrial,,6,3.13,15.502086085775591,34.23377156911169,0.0331185118421092,4,5,6224808432.0,750207000.0,0.1245,0.3134,0.0721,0.807517353454976,True,sec,15,-0.0481,76084851.60000001,2026-11-05,,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,-2.72,תקין,2.89,אזור אפור,-0.1175,-0.0446,,Technology,ענף,50,,
GEN,Gen Digital Inc.,Technology,,4,21.62,5000000000.0,15644000000.0,0.4658339456282145,8156000000.0,14,,12.643275,4.8759584,6,6,industrial,,7,1.57,4.434056761268781,13.06132273595866,-0.6552687991147139,2,5,20533451264.0,2120000000.0,0.101,0.2517,0.0731,2.9054726368159205,True,sec,14,-0.0366,130888323.18,2026-11-05,,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,False,True,-2.37,תקין,1.26,סיכון חדלות פירעון,0.04,-0.0367,אלטמן,Technology,ענף,45,,
